,userName,score,at,content,sentiment,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
10,kris arianto,2,2022-08-23 10:27:22,aplikasi dan jaringan indihomenya sangat mengesalkan saya tunggu aja sampai habis kontrak selama tahun kalau tidak ada perbaikan ya paling ganti yang lain sdh berkali komplain tidak ada perubahan sinyal putus malah sering dpt tlp untuk tambah kecepatan dll boro mau mikir  kalau bayar mahal tp jaringan putus panggilan tlp wa saja jarang bisa dipakai,-1,"['aplikasi', 'dan', 'jaringan', 'indihomenya', 'sangat', 'mengesalkan', 'saya', 'tunggu', 'aja', 'sampai', 'habis', 'kontrak', 'selama', 'tahun', 'kalau', 'tidak', 'ada', 'perbaikan', 'ya', 'paling', 'ganti', 'yang', 'lain', 'sdh', 'berkali', 'komplain', 'tidak', 'ada', 'perubahan', 'sinyal', 'putus', 'malah', 'sering', 'dpt', 'tlp', 'untuk', 'tambah', 'kecepatan', 'dll', 'boro', 'mau', 'mikir', 'kalau', 'bayar', 'mahal', 'tp', 'jaringan', 'putus', 'panggilan', 'tlp', 'wa', 'saja', 'jarang', 'bisa', 'dipakai']",<FreqDist with 49 samples and 55 outcomes>,"['aplikasi', 'jaringan', 'indihomenya', 'mengesalkan', 'tunggu', 'habis', 'kontrak', 'perbaikan', 'ganti', 'berkali', 'komplain', 'perubahan', 'sinyal', 'putus', 'tlp', 'kecepatan', 'boro', 'mikir', 'bayar', 'mahal', 'jaringan', 'putus', 'panggilan', 'tlp', 'jarang', 'dipakai']","['aplikasi', 'jaringan', 'indihomenya', 'mengesalkan', 'tunggu', 'habis', 'kontrak', 'perbaikan', 'ganti', 'berkali', 'komplain', 'perubahan', 'sinyal', 'putus', 'tlp', 'kecepatan', 'boro', 'mikir', 'bayar', 'mahal', 'jaringan', 'putus', 'panggilan', 'tlp', 'jarang', 'dipakai']","['aplikasi', 'jaring', 'indihomenya', 'kesal', 'tunggu', 'habis', 'kontrak', 'baik', 'ganti', 'kali', 'komplain', 'ubah', 'sinyal', 'putus', 'tlp', 'cepat', 'boro', 'mikir', 'bayar', 'mahal', 'jaring', 'putus', 'panggil', 'tlp', 'jarang', 'pakai']"
11,Aldy Sport,1,2022-08-23 10:14:41,malah gagal login padahal internet ada parah sekali komplain wifi lemot cuma disuruh restart modem ga ada penanganan,-1,"['malah', 'gagal', 'login', 'padahal', 'internet', 'ada', 'parah', 'sekali', 'komplain', 'wifi', 'lemot', 'cuma', 'disuruh', 'restart', 'modem', 'ga', 'ada', 'penanganan']",<FreqDist with 17 samples and 18 outcomes>,"['gagal', 'login', 'internet', 'parah', 'komplain', 'wifi', 'lemot', 'disuruh', 'restart', 'modem', 'penanganan']","['gagal', 'login', 'internet', 'parah', 'komplain', 'wifi', 'lemot', 'disuruh', 'restart', 'modem', 'penanganan']","['gagal', 'login', 'internet', 'parah', 'komplain', 'wifi', 'lot', 'suruh', 'restart', 'modem', 'tangan']"
12,Fernando_ yerry,1,2022-08-23 09:28:58,kenapa pas update susah betul masuknya,-1,"['kenapa', 'pas', 'update', 'susah', 'betul', 'masuknya']",<FreqDist with 6 samples and 6 outcomes>,"['pas', 'susah', 'masuknya']","['pas', 'susah', 'masuknya']","['pas', 'susah', 'masuk']"
13,Huda Ku juga,1,2022-08-23 09:12:14,aplikasi ini mempersulit keadaan yang dimana saya mengalami gangguan internet dan tidak dapat melaporkan lewat aplikasi ini terimakasih telah mempersulit pelanggan indihome karena laporan saja tidak bisa saya yakin perbaikan akan lama dilakukan dengan alasan sedang dalam peningkatan layanan,-1,"['aplikasi', 'ini', 'mempersulit', 'keadaan', 'yang', 'dimana', 'saya', 'mengalami', 'gangguan', 'internet', 'dan', 'tidak', 'dapat', 'melaporkan', 'lewat', 'aplikasi', 'ini', 'terimakasih', 'telah', 'mempersulit', 'pelanggan', 'indihome', 'karena', 'laporan', 'saja', 'tidak', 'bisa', 'saya', 'yakin', 'perbaikan', 'akan', 'lama', 'dilakukan', 'dengan', 'alasan', 'sedang', 'dalam', 'peningkatan', 'layanan']",<FreqDist with 34 samples and 39 outcomes>,"['aplikasi', 'mempersulit', 'dimana', 'mengalami', 'gangguan', 'internet', 'melaporkan', 'aplikasi', 'terimakasih', 'mempersulit', 'pelanggan', 'indihome', 'laporan', 'perbaikan', 'alasan', 'peningkatan', 'layanan']","['aplikasi', 'mempersulit', 'dimana', 'mengalami', 'gangguan', 'internet', 'melaporkan', 'aplikasi', 'terimakasih', 'mempersulit', 'pelanggan', 'indihome', 'laporan', 'perbaikan', 'alasan', 'peningkatan', 'layanan']","['aplikasi', 'sulit', 'mana', 'alami', 'ganggu', 'internet', 'lapor', 'aplikasi', 'terimakasih', 'sulit', 'langgan', 'indihome', 'lapor', 'baik', 'alas', 'tingkat', 'layan']"
14,drh. Agus Riyanto,1,2022-08-23 08:58:29,menghubungi gak bisalewat aplikasi gak bisapadahal dulu gampang dan cepat kalau ada permasalahan,-1,"['menghubungi', 'gak', 'bisalewat', 'aplikasi', 'gak', 'bisapadahal', 'dulu', 'gampang', 'dan', 'cepat', 'kalau', 'ada', 'permasalahan']",<FreqDist with 12 samples and 13 outcomes>,"['menghubungi', 'bisalewat', 'aplikasi', 'bisapadahal', 'gampang', 'cepat', 'permasalahan']","['menghubungi', 'bisalewat', 'aplikasi', 'bisapadahal', 'gampang', 'cepat', 'permasalahan']","['hubung', 'bisalewat', 'aplikasi', 'bisapadahal', 'gampang', 'cepat', 'masalah']"
15,Adi Hs,1,2022-08-23 08:38:48,aplikasi buruk gak jelas masa id pelangan saya ada menyelesaikan registrasi gak bisa parah aplikasi cacat,-1,"['aplikasi', 'buruk', 'gak', 'jelas', 'masa', 'id', 'pelangan', 'saya', 'ada', 'menyelesaikan', 'registrasi', 'gak', 'bisa', 'parah', 'aplikasi', 'cacat']",<FreqDist with 14 samples and 16 outcomes>,"['aplikasi', 'buruk', 'id', 'pelangan', 'menyelesaikan', 'registrasi', 'parah', 'aplikasi', 'cacat']","['aplikasi', 'buruk', 'id', 'pelangan', 'menyelesaikan', 'registrasi', 'parah', 'aplikasi', 'cacat']","['aplikasi', 'buruk', 'id', 'pelang', 'selesai', 'registrasi', 'parah', 'aplikasi', 'cacat']"
16,Teguh Pramono,5,2022-08-23 08:16:06,sudah bagus aplikasi myindihome lebih bisa kontrol pemakain serta dapat fitur informasi terupdate terimakasih atas layanan yang prima dari indihome semoga senantiasa berkembang lebih maju terdepan salam hangat bahagia dari pengunamu,1,"['sudah', 'bagus', 'aplikasi', 'myindihome', 'lebih', 'bisa', 'kontrol', 'pemakain', 'serta', 'dapat', 'fitur', 'informasi', 'terupdate', 'terimakasih', 'atas', 'layanan', 'yang', 'prima', 'dari', 'indihome', 'semoga', 'senantiasa', 'berkembang', 'lebih', 'maju', 'terdepan', 'salam', 'hangat', 'bahagia', 'dari', 'pengunamu']",<FreqDist with 29 samples and 31 outcomes>,"['bagus', 'aplikasi', 'myindihome', 'kontrol', 'pemakain', 'fitur', 'informasi', 'terupdate', 'terimakasih', 'layanan', 'prima', 'indihome', 'semoga', 'senantiasa', 'berkembang', 'maju', 'terdepan', 'hangat', 'bahagia', 'pengunamu']","['bagus', 'aplikasi', 'myindihome', 'kontrol', 'pemakain', 'fitur', 'informasi', 'terupdate', 'terimakasih', 'layanan', 'prima', 'indihome', 'semoga', 'senantiasa', 'berkembang', 'maju', 'terdepan', 'hangat', 'bahagia', 'pengunamu']","['bagus', 'aplikasi', 'myindihome', 'kontrol', 'pemakain', 'fitur', 'informasi', 'terupdate', 'terimakasih', 'layan', 'prima', 'indihome', 'moga', 'senantiasa', 'kembang', 'maju', 'depan', 'hangat', 'bahagia', 'pengunamu']"
17,Lims ID,1,2022-08-23 08:15:01,hmmmm ada apa ini gak bs masuk super berat baru update,-1,"['hmmmm', 'ada', 'apa', 'ini', 'gak', 'bs', 'masuk', 'super', 'berat', 'baru', 'update']",<FreqDist with 11 samples and 11 outcomes>,"['hmmmm', 'super', 'berat']","['hmmmm', 'super', 'berat']","['hmmmm', 'super', 'berat']"
18,iswadi idris,3,2022-08-23 07:37:50,aplikasinya ga ada masalah cm jaringan internetnya sering bermasalah bintang dulu,-1,"['aplikasinya', 'ga', 'ada', 'masalah', 'cm', 'jaringan', 'internetnya', 'sering', 'bermasalah', 'bintang', 'dulu']",<FreqDist with 11 samples and 11 outcomes>,"['aplikasinya', 'jaringan', 'internetnya', 'bermasalah', 'bintang']","['aplikasinya', 'jaringan', 'internetnya', 'bermasalah', 'bintang']","['aplikasi', 'jaring', 'internetnya', 'masalah', 'bintang']"
19,Chu Ai Lien,5,2022-08-23 07:18:29,buat apk udh bagus cuma buat jaringan mohon di perbaikin dong masa harus ada pembatasan perangkat padahl kuota masih banyak sering muter hrs ny si kalo ada kuota ngapain pake pembatasan perangkat semenjak ada pembatasan perangkat jadi ga nyaman,1,"['buat', 'apk', 'udh', 'bagus', 'cuma', 'buat', 'jaringan', 'mohon', 'di', 'perbaikin', 'dong', 'masa', 'harus', 'ada', 'pembatasan', 'perangkat', 'padahl', 'kuota', 'masih', 'banyak', 'sering', 'muter', 'hrs', 'ny', 'si', 'kalo', 'ada', 'kuota', 'ngapain', 'pake', 'pembatasan', 'perangkat', 'semenjak', 'ada', 'pembatasan', 'perangkat', 'jadi', 'ga', 'nyaman']",<FreqDist with 31 samples and 39 outcomes>,"['apk', 'udh', 'bagus', 'jaringan', 'perbaikin', 'pembatasan', 'perangkat', 'padahl', 'kuota', 'muter', 'hrs', 'kuota', 'ngapain', 'pake', 'pembatasan', 'perangkat', 'semenjak', 'pembatasan', 'perangkat', 'nyaman']","['apk', 'udh', 'bagus', 'jaringan', 'perbaikin', 'pembatasan', 'perangkat', 'padahl', 'kuota', 'muter', 'hrs', 'kuota', 'ngapain', 'pake', 'pembatasan', 'perangkat', 'semenjak', 'pembatasan', 'perangkat', 'nyaman']","['apk', 'udh', 'bagus', 'jaring', 'perbaikin', 'batas', 'perangkat', 'padahl', 'kuota', 'muter', 'hrs', 'kuota', 'ngapain', 'pake', 'batas', 'perangkat', 'semenjak', 'batas', 'perangkat', 'nyaman']"
20,adhy 2547,5,2022-08-23 07:15:59,dengan ada aplikasi untuk mempermudah melihat penggunaan dan permudah untuk koordinasi telkom,1,"['dengan', 'ada', 'aplikasi', 'untuk', 'mempermudah', 'melihat', 'penggunaan', 'dan', 'permudah', 'untuk', 'koordinasi', 'telkom']",<FreqDist with 11 samples and 12 outcomes>,"['aplikasi', 'mempermudah', 'penggunaan', 'permudah', 'koordinasi', 'telkom']","['aplikasi', 'mempermudah', 'penggunaan', 'permudah', 'koordinasi', 'telkom']","['aplikasi', 'mudah', 'guna', 'mudah', 'koordinasi', 'telkom']"
21,Ramdani Setiawan,5,2022-08-23 07:12:13,aplikasi nya membantu sekali apalagi fitur nya komplit add on dan upgrade speed bisa langsung di aplikasinya joss semoga aplikasinya terus dikembangkan min,1,"['aplikasi', 'nya', 'membantu', 'sekali', 'apalagi', 'fitur', 'nya', 'komplit', 'add', 'on', 'dan', 'upgrade', 'speed', 'bisa', 'langsung', 'di', 'aplikasinya', 'joss', 'semoga', 'aplikasinya', 'terus', 'dikembangkan', 'min']",<FreqDist with 21 samples and 23 outcomes>,"['aplikasi', 'membantu', 'fitur', 'komplit', 'add', 'upgrade', 'speed', 'aplikasinya', 'semoga', 'aplikasinya', 'dikembangkan']","['aplikasi', 'membantu', 'fitur', 'komplit', 'add', 'upgrade', 'speed', 'aplikasinya', 'semoga', 'aplikasinya', 'dikembangkan']","['aplikasi', 'bantu', 'fitur', 'komplit', 'add', 'upgrade', 'speed', 'aplikasi', 'moga', 'aplikasi', 'kembang']"
22,allifindo cv,2,2022-08-23 07:07:16,blm coba apakah bisa ganti pasword speedy ya nggakklau bisa bintang ni,-1,"['blm', 'coba', 'apakah', 'bisa', 'ganti', 'pasword', 'speedy', 'ya', 'nggakklau', 'bisa', 'bintang', 'ni']",<FreqDist with 11 samples and 12 outcomes>,"['coba', 'ganti', 'pasword', 'speedy', 'nggakklau', 'bintang']","['coba', 'ganti', 'pasword', 'speedy', 'nggakklau', 'bintang']","['coba', 'ganti', 'pasword', 'speedy', 'nggakklau', 'bintang']"
23,iwan kurniawan,1,2022-08-23 06:58:36,harus banyak di perbaiki banyak bug log out sendiri mau masuk lagi log in susah verivikasi no hp verifikasi wa udah ada kode tidak bisa masuk sedang meningkatkan layanan keterangan nya makin parah aja tidak bisa masuk log in setelah ada update masih juga tidak bisa log in,-1,"['harus', 'banyak', 'di', 'perbaiki', 'banyak', 'bug', 'log', 'out', 'sendiri', 'mau', 'masuk', 'lagi', 'log', 'in', 'susah', 'verivikasi', 'no', 'hp', 'verifikasi', 'wa', 'udah', 'ada', 'kode', 'tidak', 'bisa', 'masuk', 'sedang', 'meningkatkan', 'layanan', 'keterangan', 'nya', 'makin', 'parah', 'aja', 'tidak', 'bisa', 'masuk', 'log', 'in', 'setelah', 'ada', 'update', 'masih', 'juga', 'tidak', 'bisa', 'log', 'in']",<FreqDist with 35 samples and 48 outcomes>,"['perbaiki', 'bug', 'log', 'out', 'log', 'susah', 'verivikasi', 'hp', 'verifikasi', 'kode', 'meningkatkan', 'layanan', 'keterangan', 'parah', 'log', 'log']","['perbaiki', 'bug', 'log', 'out', 'log', 'susah', 'verivikasi', 'hp', 'verifikasi', 'kode', 'meningkatkan', 'layanan', 'keterangan', 'parah', 'log', 'log']","['baik', 'bug', 'log', 'out', 'log', 'susah', 'verivikasi', 'hp', 'verifikasi', 'kode', 'tingkat', 'layan', 'terang', 'parah', 'log', 'log']"
24,Romi Reginald,5,2022-08-23 06:25:46,cukup membantu melihatlihat paket lain yg ada di indihome,1,"['cukup', 'membantu', 'melihatlihat', 'paket', 'lain', 'yg', 'ada', 'di', 'indihome']",<FreqDist with 9 samples and 9 outcomes>,"['membantu', 'melihatlihat', 'paket', 'indihome']","['membantu', 'melihatlihat', 'paket', 'indihome']","['bantu', 'melihatlihat', 'paket', 'indihome']"
25,Muhammad Amrullah,5,2022-08-23 06:15:08,sering hilang tenggelam sinyal nya tolong di perbaiki,1,"['sering', 'hilang', 'tenggelam', 'sinyal', 'nya', 'tolong', 'di', 'perbaiki']",<FreqDist with 8 samples and 8 outcomes>,"['hilang', 'tenggelam', 'sinyal', 'tolong', 'perbaiki']","['hilang', 'tenggelam', 'sinyal', 'tolong', 'perbaiki']","['hilang', 'tenggelam', 'sinyal', 'tolong', 'baik']"
26,Ridwan Sinaga SH,5,2022-08-23 05:56:28,aplikasi my indihome memiliki pelayanan yang baik dan terbaiktapi belum saya jumpai rekomendasi informasi discount pembayaran tagihanmohon ada pertimbangan bagi pelanggan yang sudah lamaterimakasih,1,"['aplikasi', 'my', 'indihome', 'memiliki', 'pelayanan', 'yang', 'baik', 'dan', 'terbaiktapi', 'belum', 'saya', 'jumpai', 'rekomendasi', 'informasi', 'discount', 'pembayaran', 'tagihanmohon', 'ada', 'pertimbangan', 'bagi', 'pelanggan', 'yang', 'sudah', 'lamaterimakasih']",<FreqDist with 23 samples and 24 outcomes>,"['aplikasi', 'indihome', 'memiliki', 'pelayanan', 'terbaiktapi', 'jumpai', 'rekomendasi', 'informasi', 'discount', 'pembayaran', 'tagihanmohon', 'pertimbangan', 'pelanggan', 'lamaterimakasih']","['aplikasi', 'indihome', 'memiliki', 'pelayanan', 'terbaiktapi', 'jumpai', 'rekomendasi', 'informasi', 'discount', 'pembayaran', 'tagihanmohon', 'pertimbangan', 'pelanggan', 'lamaterimakasih']","['aplikasi', 'indihome', 'milik', 'layan', 'terbaiktapi', 'jumpa', 'rekomendasi', 'informasi', 'discount', 'bayar', 'tagihanmohon', 'timbang', 'langgan', 'lamaterimakasih']"
27,Anita Tiloli,1,2022-08-23 05:35:28,aplikasi terburuk pelayanan buruk telkomsel dari duluh memang parah dan menyusahkan,-1,"['aplikasi', 'terburuk', 'pelayanan', 'buruk', 'telkomsel', 'dari', 'duluh', 'memang', 'parah', 'dan', 'menyusahkan']",<FreqDist with 11 samples and 11 outcomes>,"['aplikasi', 'terburuk', 'pelayanan', 'buruk', 'telkomsel', 'duluh', 'parah', 'menyusahkan']","['aplikasi', 'terburuk', 'pelayanan', 'buruk', 'telkomsel', 'duluh', 'parah', 'menyusahkan']","['aplikasi', 'buruk', 'layan', 'buruk', 'telkomsel', 'duluh', 'parah', 'susah']"
28,Erlangga Putra De Boer,1,2022-08-23 05:11:24,ngak bisa pakai bulan karena isolir udah minta pembukaan isolir masih belum terbuka dengan status indihome servis is isolir,-1,"['ngak', 'bisa', 'pakai', 'bulan', 'karena', 'isolir', 'udah', 'minta', 'pembukaan', 'isolir', 'masih', 'belum', 'terbuka', 'dengan', 'status', 'indihome', 'servis', 'is', 'isolir']",<FreqDist with 17 samples and 19 outcomes>,"['pakai', 'isolir', 'pembukaan', 'isolir', 'terbuka', 'status', 'indihome', 'servis', 'isolir']","['pakai', 'isolir', 'pembukaan', 'isolir', 'terbuka', 'status', 'indihome', 'servis', 'isolir']","['pakai', 'isolir', 'buka', 'isolir', 'buka', 'status', 'indihome', 'servis', 'isolir']"
29,Surung Situmorang,5,2022-08-23 04:48:54,cepat dan tanggap,1,"['cepat', 'dan', 'tanggap']",<FreqDist with 3 samples and 3 outcomes>,"['cepat', 'tanggap']","['cepat', 'tanggap']","['cepat', 'tanggap']"
30,Mr Fadhli,1,2022-08-23 04:29:27,gak bisa dibuka gak bisa cek cicilan dll tolong diperbaiki agar bisa saya tambah bintangnya,-1,"['gak', 'bisa', 'dibuka', 'gak', 'bisa', 'cek', 'cicilan', 'dll', 'tolong', 'diperbaiki', 'agar', 'bisa', 'saya', 'tambah', 'bintangnya']",<FreqDist with 12 samples and 15 outcomes>,"['dibuka', 'cek', 'cicilan', 'tolong', 'diperbaiki', 'bintangnya']","['dibuka', 'cek', 'cicilan', 'tolong', 'diperbaiki', 'bintangnya']","['buka', 'cek', 'cicil', 'tolong', 'baik', 'bintang']"
31,Faisal Muhamad Rizal,1,2022-08-23 04:17:35,wadu gajelas ini aplikasi susah laporan ga bisa login bintang plus kepercayaan soale data pelanggan bocorbocorrr,-1,"['wadu', 'gajelas', 'ini', 'aplikasi', 'susah', 'laporan', 'ga', 'bisa', 'login', 'bintang', 'plus', 'kepercayaan', 'soale', 'data', 'pelanggan', 'bocorbocorrr']",<FreqDist with 16 samples and 16 outcomes>,"['wadu', 'gajelas', 'aplikasi', 'susah', 'laporan', 'login', 'bintang', 'plus', 'kepercayaan', 'soale', 'data', 'pelanggan', 'bocorbocorrr']","['wadu', 'gajelas', 'aplikasi', 'susah', 'laporan', 'login', 'bintang', 'plus', 'kepercayaan', 'soale', 'data', 'pelanggan', 'bocorbocorrr']","['wadu', 'gajelas', 'aplikasi', 'susah', 'lapor', 'login', 'bintang', 'plus', 'percaya', 'soale', 'data', 'langgan', 'bocorbocorrr']"
32,arhijo,2,2022-08-23 04:05:24,lemot hp ram gb inet pke indihome buka applikasinya buffering,-1,"['lemot', 'hp', 'ram', 'gb', 'inet', 'pke', 'indihome', 'buka', 'applikasinya', 'buffering']",<FreqDist with 10 samples and 10 outcomes>,"['lemot', 'hp', 'ram', 'gb', 'inet', 'pke', 'indihome', 'buka', 'applikasinya', 'buffering']","['lemot', 'hp', 'ram', 'gb', 'inet', 'pke', 'indihome', 'buka', 'applikasinya', 'buffering']","['lot', 'hp', 'ram', 'gb', 'inet', 'pke', 'indihome', 'buka', 'applikasinya', 'buffering']"
33,Yudi Pratama,5,2022-08-23 04:02:38,sangat berguna buat lihat kuota,1,"['sangat', 'berguna', 'buat', 'lihat', 'kuota']",<FreqDist with 5 samples and 5 outcomes>,"['berguna', 'kuota']","['berguna', 'kuota']","['guna', 'kuota']"
