content,sentiment
setiap mau bennerin koneksi wifi pasti lemot trus nggk bisa  pdahall ak bayar di atas orang2 warga sini tp mau benerin pengaturan sepeerti ganti sandi aja sulit percuma lu bikin aplikasi klo gni,-1
aplikasinya sangat membantu sekali  sangat mempermudah pelanggan untuk mengakses kebutuhan internet   indihome tv kalau ingin tambah chanel ga ribet langsung bisa kita tambahkan melalui aplikasi myindihome  saya sangat puas dan nyaman menggunakan aplikasi myindihome ,1
pertama indihome lancar   wus wus   tapi lama2 gk jelas sering mati2 sendiri    sinyal gk stabil,-1
ini saya knp gk bisa masuk aplikasi lagi   selalu keterangan nya kami sedang perbaikan,-1
habis update tidak bisa login lagi   konekski bagus tapi suruh periksa jaringan,-1
kalok nggak niat bikin aplikasi mendingan di hapus aja  nggak usah kasih aplikasi kalok habis update malah eror mulu login nggak bisa kesalahan jaringan terus  terus gunanya update apaan kalok nggak memperbaiki sistem  malah bikin buruk sistem ,-1
woy anjg gak bisa login  kesalahan koneksi terus pas login,-1
semakin jelas informasi dan kualitas layanan nya         ,1
aplikasi tolol dongo idiot yang buat bocil baru lulus smp  masa abis di ganti pasword pas masukin pasword baru malah ga bisa  mana bikin pasword nya di atur lagi harus  uruf ,-1
sebagai pelanggan saya sangat puas dengan aplikasi ini  karena sangat membantu untuk cek penggunaan internetnya  kemudian berbagai macam layanan dan promo diskon terbaru ada di aplikasi ini seperti tambah langgana aplikasi untuk indihometv  saya banyak terbantu dengan aplikasi ini  selain itu ada program poin untuk bisa ditukarkan diakhir tahun dengan barang barang atau voucher belanja  semoga terus dikembangkan aplikasi ini dengan fitur2 game yang bisa dimainkan atau lainnya  terimakasih,1
ada update baru bukannya nambah bagus  malah ga bisa login rusak aplikasi   user bikinnya,-1
sering error   peningkatan layanan buat apa    ngk ada berubah pun   wifi makin hari makin lelet    tagihan lama lama naik ngk jls   pas di komplin bilang promo ini promo itu  ,-1
saya jadi pelanggan memang baru 1 tahun lebih tapi tagihan bulanan selalu saya bayar tepat waktu dan tidak pernah telat  kecepatan internet  bps   unlimited tapi jaringan internet sering hilang  bagaimana mana ini         ,-1
aplikasinya bagus tinggal ditingkatkan lagi untuk kompatibel nya saja ,1
tiap mau masuk pasti ga bisa dan ada keterangan   mohon maaf kami sedang melakukan perbaikan layanan  terus gunanya aplikasinya buat apa  ,-1
tidak bisa masuk  dengan alasan peningkatan pelayanan yang sudah 4 hari  belum belum juga di tingkatkan   ,-1
udh brp bln aplikasinya gk bisa dipake  keterangannya sllu dlm peningkatan layanan ,-1
aplikasinya ada tapi pelayanan tidak ada  gak bisa di pake dong aplikasinya,-1
aplikasi ter aneh salah masuk pass sekali aja nunggunya harus berjam jam  wkwkwkwk,-1
aplikasi sangat membantu dalam memecahkan permasalahan terkait perangkat dan koneksi indihome saya dirumah  dimanapun posisi sy berada  terima kasih  ,1
mantap apk ini penangganan gangguan respon cepat costumer juga ramah    semoga bisa lebih baik lagi kedepan,1
aplikasi ini bagus untuk digunakan  karena kita bisa melihat jumlah pembayaran myindihome setiap bulannya dan ada banyak promo diskon di aplikasi,1
wifi nya sering ngelag erorr  jaringan gak stabill   tolong diperbaiki thnks,-1
udah sebulan lebih tlp saya bermasalah tapi waktu lapor lewat aplikasi  tulisannya selalu  aplikasi sedang ada kendala ,-1
sangat mudah di gunakan  fiturnya lengkap,1
mau login susah amat  id   password saya masih ingat malah dibilang kadaluarsa padahal gak pernah ngutak atik aplikasi  giliran pas relog verifikasi kode nomor via wa katanya salah  padahal jelas2 saya udah bener masukinnya lha wong cuma 4 angka kok  masukin   dibilang berulang2  suruh nunggu 1 jam lagi  selain masalah itu  di berandanya juga sering gak bisa diliat nampilin isinya  eeq ini si udah terlalu babi  indihomo tu termasuk mahal lho telkomtod  cuma urusin aplikasi aja kagak becus bi ,-1
aplikasinya gangguan terus  tambah mahal sekarang,-1
lebih mempermudah saya untuk menambah kecepatan jaringan dan membeli paket,1
aplikasi aneh  makin sulit pengaplikasian nya,-1
aplikasi nya keren mudah di pahami tidak pusing pusing untuk mengontrol wifi dan penggunanya pokok the best untuk indihome semoga konsisten dan maju   ,1
ketika mau login muncul error  interupt saya kira krn aplikasi blm saya prbarui  stlh saya prbarui trnyata sama saja  sdh hmpir  ulan blm bsa login ke aplikasi  udh bayar mahal pelayanan mngecewakn  jgn cmn bilg maaf  tp extra scepatnya dprbaiki pelayanannya ,-1
jelek banget  mau login pakai kirim kode verifikasi ke nomor lama  apabila nomor lama udh gk dipake atau nomor udh hilang terus buat liat kode verifikasi yg dikasih gimana  coba dibuat fitur lupa nomor kan jadinya lebih enak buat user,-1
aplikasi sangat bermanfaat gk perlu dtang ke kantor lg   pelayanan sangat memuaskan       ,1
aplikasinya mantap surantap   bisa buat liat kuota pemakaian  liat tagihan   bayar tagihan  bisa upgrade speed mandiri   setiap bayar tagihan dapat poin dan lain lain,1
pelayanan yang terbaik masalah teknisi cepat di tanggulangi cs yang ramah serta minim gangguan dalam internet ,1
lelet        lemot jangan pasang nanti nyesel seumur umur sumpah bikin emosi  emg pas awal awal lancar  sinyal wifinya kejangkau jauh   tp klo dah berbulan bulan lelet dan sinyal wifinya mulai melemah  rencana kalo udah setahun pemasangan mau dicabut  lemot jangan pasang nanti nyesel seumur umur sumpah bikin emosi  emg pas awal awal lancar  sinyal wifinya kejangkau jauh   tp klo dah berbulan bulan lelet dan sinyal wifinya mulai melemah  rencana kalo udah setahun pemasangan mau dicabut ,-1
baru ikut pemasangan indihome hari ini   smoga indihome bagus sinyalnya   dan ga ada kendala sama sekali    sukses jaya terus buat wifi indihome  ,1
aplikasinya masih banyak bug nya  kemudian lampat dalam merespon ,1
aplikasi nya sangat membantu untuk segala macam hal mulai dari penawaran yang menarik promo yg sedang ada sampai membantu untuk membuat laporan ketika ada kendala gangguan untuk internet dan tv yg sedang saya gunakan,1
ui aplikasi sudah sangat baik mudah digunakan dan simpel  tetapi aplikasi sangat lemot padahal menggunakan jaringan yang stabil  sebagai pengguna saya berharap update untuk performa dan stabilitas aplikasi ,-1
mau ngecek tagihan malah load terus gimana nih  untuk saat ini kasih  bintang dulu,-1
terkadang klo mau buka aplikasi nya agak lemot ya   muter² trus jadi agak susah untuk ngecek pemakaian    tapi klo lagi lancar ok lah jadi kita bisa kontrol pemakaian internet d rumah,1
di suruh reinstall sama operator indy homenya  boro2 kecabut aja dah sukur  keamanan app yg atau ini lemah   ,1
sejauh ini masih provider internet yang paling stabil  ditambah kemudahan layanan lainnya  add on  upgrade layanan menambah kemudahan  semoga selalu senantiasa menambah dan meningkatkan layanan dan tambahan program menarik lainnya ,1
induhome fast respon pernah kejadian kabel optik putus sampe   hubungi pihak indihome langsung dateng  dan untuk pendaftaran mudah lewat online gk perlu keluar rumah,1
susah masuk ke apk my indihome setelah up ke speed  bps selalu peningkatan layanan  sudah 5 bulan gk bisa masuk padahal sudah terdaftar,-1
selesai di update malah eror tidak bisa login  masukin kode verifikasi salah padahal sudah sesuai dengan yg dikirim lewat sms wa,-1
aplikasi ini mempermudah dalam mengecek dan membayar tagihan promo2 juga banyak tertera dan dapat dipilih sesuai keinginan kita ditambah poin dan juga status member kita yang banyak memberi keuntungan ,1
kami melakukan pemindahan alamat dan kami juga sudah membayar biaya admin  tapi hampir  minggu masih belum bisa di gunakan  buat temen2 yang mau pasang indihome silahkan dipikir pikir terlebih dahulu ,-1
sangat bagus  mudah berkomunikasi  sangat efisien  dan banyak hadiah,1
mau lapor gangguan  malah app nya juga gangguan  d,-1
permasalahan sekarang tiba2 muncul nomor indihome yg bukan punya pemilik tolong d perbaiki dan satu lagi alamat tidak sesuai dengan alamat rumah ini tolonh diperbaiki juga,-1
halo developer  tolong di perbaiki bugnya  saya tidak bisa login lagi untuk membayar tagihan,-1
layanan bagus dan cepat kami senang menggunakan indihome ga ada masalah dalam jaringan sinyal lancar terus semoga indihome tambah sukes banyak pelanggan,1
aplikasi yang simple dan multifungsi untuk penyedia berbagai macam layanan produk indihome  serta tampilan yang menarik ,1
aplikasi kelek susah buka alasan tidak ada koneksi jaringan ,-1
apakah bisa di setting untuk waktu wifinya yang bisa dipakai kapan saja    krn kl on terus  anak2 tidak ada waktu istirahatnya maen hp terus,-1
login nya susah  klik addons tambah layanan ga bisa2  cm lihat tagihan doang ky ga berguna ini app,-1
sangat membantu untuk mendapatkan promo promo terbaik  sarankalau bisa untuk pilihan paket disediain untuk paket kecepatan  bps untuk rumahan,1
aplikasi yg sangat bagus dan sangat membantu utk semua penggunanya  karena dg satu aplikasi saja kita bisa mengakses semua fitur fitur yg kita inginkan  pokoknya my indihome t o p sukses trs my indihome  ,1
turun bintang    kenapa aplikasinya kok aneh  ketika login malah di alihkan reset sandi  ketika mau input kode malah error periksa koneksi   ,-1
setelah update malah logout sendiri  mau masuk susah sekali   rusak pokoknya,-1
aplikasi jelek saya mau komplain mati seharian kagak bisa  klo di daerah saya ada provider selain indihome udh pasti saya ganti,-1
aplikasi indiehome ini sangat mudah digunakan serta fitur fitur yang ada didalamnya sangat lengkap dan juga mempermudah untuk melaporkan dan menyelesaikan kendala teknis atau nonteknis pemakaian internet serta pelayanan sangat istimewah   dengan adanya aplikasi ini semua masalah dapat terselesaikan dengan satu gengaman saja   ,1
sering error   mau bikin tiket gangguan malah gak bisa,-1
sangat bagus  fiturnya selalu ada pembaharuan  mudah dipahami  laporan gangguan  restart modem bisa langsung di aplikasi my indihome  mantapppp ,1
kenapa menu smooa tidak bisa di buka dan point tanpa di pakai bisa hilang  kalian mau dagang apa main game  tolong di perbaiki lagi aplikasi nya  setelah di upgrade bukan nya lebih baik malah lebih parah ,-1
detail tagihan nya jelas  jumlah perangkat yg terhubung juga ada  kuota yg terpakai juga disediain jadi bisa maintain penggunaan  paling seneng ngumpulin poin  trus dituker voucher buat bayar tagihan indihome  atau bisa dituker free gift macem2 di plasa telkom  puas sama pelayanan indihome  sangat menguntungkan   ,1
quick respons and solution atas keluhan yg saya sampaikan  smga app ini bertambah baik truss       ,1
pelayanannya sangat ramah dan cepat penanganan nya    ,1
saya kasih bintang 1 aja karena saya mau upgrade speed nya masih bermasalah ngak bisa di ngasih otp nanti kalau sdh bisa baru bintang nambah ,-1
bukannya makin bagus malah makin payah setelah di update contoh   lbuka riwayat tagihan loading mulu,-1
aplikasi yang memudahkan kita dalam melihat promo yang di swlwnggarakan indihome  sedikit masukan bisa di tambah menu dalam aplikasi yang menyertakan prangkat apa saja yang tersambung dalam wi fi ,1
pelayanan  serta respon terhadap kendalanya cepat serta csnya ramah  diharapkan untuk kedepannya bisa lebih cepat lagi dalam penanganan permasalahan seputar aplikasinya,1
sudah baik  perlu ditingkatkan kembali  karena didalam aplikasi waktu memilih layanan terkadang sering lelet  overall sudah baik,1
sayang2 kuota update gak bisa masuk k aplikasi ,-1
sebenernya enak si pakai indihome ini  jaringannya oke  cuma mau pasang smart indihome  cctv  selalu gagal  udah 3 kali aktifasi tetap aja gagal  padahal biar sekalian pembayaran jadi satu dengan layananan internet n tv nya  tinggal tunggu waktu aja si ini  kalau gagal terus paling ganti ke layanan tetangga  ,-1
pertama pakai aplikasi ini sy kasi bintang5 karna selain mudah cara pembayaran jg untuk mengeceknya gampang tapi setelah pemakaian  ulan pas mau buka aplikasi loadingnya lama banget dan sering error tolong di perhatikan kenyamanan customer,-1
aplikasinya error terus    lebih baik saya hapus aplikasinya   nanti klo sudah normal baru cari yang lain lagi,-1
ga bisa login   mau login bilang password ud kadaluarsa dan situ ganti   ud ganti dan kirim kode verivikasi pas di masukin kode ny bilang kode tidak valid   lol sekali   ud coba   ttp aja ga bisa,-1
terimaksih atas aplikasinya  saya tidak harus antri lagi di plaza telkom kalau ada gangguan indihome  bisa melaporkan melalui aplikasi dan kurang dari 3 jam masalah saya dapat teratasi,1
setelah diupgrade detail penggunaan tidak ada  harusnya jgn dihilangkan krena info penggunaan penting,-1
kalau ngk niat bikin app mending ngk usah diki² peningkatan layanan kadang² kluar sendiri makin ngk jelas nih app,-1
kalau sudah bagus jgn di utak atik trus  malah jdi prodok gagal jadi nya  liat pembayaran susah bayar susah nanti kalau gak bisa di akses lgi mahalah kena denda lgi,-1
mantap aplikasi semakin mudah di mengerti  bisa mengetahui tagihan tiap bulan  banyak promo yg bisa kita tahu  ketika kita mendapat gangguan mudah dan fast respon lagi dan masih banyak informasi lain nya   top markotop   ngga nyesel pasang aplikasi indihome ,1
app mantap sih  setelah upgrade jdi makin mudah untuk pengaduan keluhan dan perbaikan juga cukup cepat juga  thanks indihome,1
voucher sering hilang padhal biar dpt diskon  tidak ada pengembalian poin saat voucher hilang sudah lebih dari     poin yg hilang sia sia ,-1
myindihome app yang sangat simple  banyak berbagai manfaat dan kegunaannya untuk semua hal didalam media media internet ,1
wifi burik kontl  buat kerja ngelag  maen game ngelag  streaming ngelag  benerin bangke profaidernya  nelpon csnya pake pulsa  malah disuruh nunggu  dia kira nelpon gratisan kali anjg,-1
fungsi aplikasi ini sangat membantu masukan aja harusnya bisa ditambahkan untuk pengaturan jaringan ganti sandi wifi secara berkala dan melakukan blok bagi pengguna gelap atau tidak diketahui tanpa harus login ke situs           tolong ditindak lanjuti,1
sangat tidak baik tiba tiba minta ganti pasword baru waktu ganti pun gak bisa bisa hapus aja jika gak guna ini aplikasi bikin panas aja mau cek tagihan malah bikin masalah baru,-1
tidak bisa login udh masukin kode verifikasi buat ganti pw ketrangan silahkan perika jaringan koneksi anda  padahal jaringan d rumah full normal  gak jelas apk ny  segra perbaiki lagi  menyusahkan kalo ada apa² ny seperti mau komplin msalah modem atau jaringan   ditunggu follow up nya tks,-1
update aplikasi malah semakin ribet   susah dan interface membinggungkan untuk user,-1
jaringan stabil  pelayanan gangguan cepat tanggap  mantap pokoknya,1
semakin lama semakin buruk  harga semakin mahal  pelayanan mengecewakan  jaringan lebih hancur lagi  bingung banget sma indihome  wa aja susah banget nyambung nya  jaringan wifi keluar2  tapi pembayaran  n  tolong ini indihome di perbaiki setidaknya jaringan nya yang di perbaiki  merasa rugi banget bayar mahal jaringan jelek  bahkan nelfon lewat wa menghubungkan     padahal cuaca nggak ada hujan sma skli,-1
di aplikasi ini setiap masalah indihome ditanggapi dengan cepat dan ramah  semoga terus seperti itu ,1
sangat membantu dan memuaskan    terdapat program dan informasi lainnya ,1
di depan rumah saya sudah ada jaringan fiber optiknya tapi di aplikasi keterangannya belum ada,-1
setelah update  aplikasi tidak bisa login dengan notifikasi sedang perbaikan,-1
saya pengguna indihome sampai sekarang pelayanan bagus  internet lancar dan tanpa gannguan,1
mau buka apps tau2 suruh masukan ulang username  udah masukin email valid  katanya ada perubahan  buat kata sandi baru  udah bikin kata sandi yg baru  katanya token tidak valid  apa apaan ini ,1
saat login lama   kalau mau bukak di keluhan lama kadanf sering ganguan biat proses bantuan  laporan layanan tergangu,-1
selama menggunakan indihome  koneksi internet lancar  proses belajar anak dan nonton hiburan jadi nyaman,1
selama saya menggunakan my indihome pelayanan dan lengaduan sangat cepat di atasi  semoga selalu solid dalam menangani seluruh masalah ,1
aplikasi sangat membantu dalam melihat kouta membayar tagihan melihat perangkat yang terhubung dan melapor gangguan,1
tolong dong saya mau cek diriwayatnya tapi error gk keluar2 listnya,-1
aplikasi bagus  alhamdulillah terbantu pekerjaan ku dengan adanya internet indihome  jaringan lancar tanpa takut terganggu dengan gangguan    ,1
tarif masih mahal dan kecepatan internet masih tdk mendukung utk pekerjaan dan hiburan yg butuh jaringan internet yg stabil,1
kenapa verifikasi data diri saya tidak selesai selesai  katanya hanya butuh   menit tapi ini sudah  hari  dan berapa lama untuk menunggu verifikasi order tersebut  semoga dipercepat dan dipermudah pemasangan dan pemakaian wi fi indihome di kost an saya,1
buka aplikasi aja gk bisa aneh padahal guna data ganti guna wifi juga masi gk bisa,-1
saya sebagai customer sangat2 d rugikan dari kemarin saya mengalami kerusakan tetapi sampai saat ini tidak ada yang memperbaiki segitu tiket untuk memperbaiki sudah ada saya kantongi tetapi petugas yg memperbaiki blm dtng jg,-1
diperbaiki lah servernya  masa bertahun tahun mau lapor gak pernah bisa lewat aplikasi  padahal tiap telepon selalu diarahin untuk lapor lewat aplikasi ,-1
operator cs ok tanggap banget buat laporan customer  tapi tehknisinya ndablek lama nerima laporan dan kurang tanggap  atau memang tehknisinya cuma 1 org per provinsi entahlah  ,-1
aplikasinya tidak bagus setelah diupgrade   gak bisa lagi cek jumlah perangkat yg terhubung   email yg dimasukan pertama kali tdk sama dgn yg ada diprofil   akhirnya harus ganti email lain utk verifikasi akun   tidak bisa ganti profil   selalu muncul  kami dalam meningkatkan layanan silahkan kembali lagi nanti    aplikasi yang aneh,-1
aplikasi lemot  sering gangguan  tidak bisa membuat laporan gangguan,-1
aplikasi yang bagus dan sangat membantu meskipun kadang sering error semoga kedepannya lebih ditingkatkan lagi kualitas layanan indihome,1
versi baru di suruh ganti password di anggap kadaluarsa bgtu dpt kode pemulihan reset password di masukan kode malah di suruh cek konektivitas jaringan,-1
apk nya parah  sering bermasalah sering gak bisa masuk myindihome,-1
aplikasinya sangat berguna dan membantu  karena memudahkan pengguna untuk dapat melakukan pembayaran tagihan melalui aplikasi ,1
aplikasinya ga bisa diakses  alasan periksa jaringan padahal jaringan ga ada masalah  hanya waktu bulan bulan pertama pemakaiannya saja yang bagus ,-1
ini aplikasi kenapa  mau daftar tapi tertulis  sedang meningkatkan pelayanan  terus  jadi gak bisa ngecek atau daftar sama sekali  tolong di perbaiki   ,-1
saya mau melakukan pengaduan internet tidak berfungsi  tetapi selalu di arahkannya ke restart modem terus  ingin lapor ke call center   terkena pulsa  tidak ada call center by wa ,-1
one of good aplication for maintain indihome bill  setiap bulan ada update tagihan tanpa lama menunggu pengiriman dr email  dr segi tampilan juga user friendly  semoga kedepan ada semacam reminder  jd tiap tanggal tertentu ada notifikasi untuk setiap tagihan  di sisi lain  kedepan smga aplikasi ini bs digunakan lbh banyak lagi  bs utk daftar pengguna baru smpai bayar  downgrade  upgrade bahkan churn  overall oke aplikasinya,1
lebih sering buka all channelnya ya   trus boleh donk kalo data dirinya di pake d banyak titik dan dapat diskon pasang gratis    ,1
aplikasi bagus  memudahkan pengguna sangat membantu dalam segi pelayanan  bisa cek tagihan dan melihat riwayat pembayaran,1
aplikasi mantap   membantu mengecek tagihan bulanan   dan promo2 terbaru indihome ,1
langganan saya dengan indihome sudah hampir 5 tahun dan semenjak ada aplikasi myindihome semakin mudah dan cepet untuk mendapat info2 terbaru dan di dlm aplikasi semakin memudahkan tatap muka dan merestart modem jadi lebih mudah lewat aplikasi myindihome dr jarak jauh juga bisa   pembaruan aplikasinya juga semakin baik   membuat laporan dan penyelesaian masalah bisa di pantau dr aplikasi langsung  mantap myindihome maju terus,1
aplikasi bodoh  sdh d kasi masukkan gk ada perubahan  login sangat susah woi    ,-1
aplikasi lemot banget   mau masuk aja susah   kok nggak pernah diperbaiki   payahhh    ,-1
selalu muncul notif sedang melakukan peningkatan pelayanan pada saat ingin laporan jika terjadi error,-1
ga bisa login udah ntah knapa malah loading terus  capeeeeee,-1
termakasih indie home dengan fitur apk lebih memudahkan saya buat bayar tagihan langsung tanpa ada kendala sedikitpun,1
tampilan sangat mudah dimengerti  memberikan berbagai informasi yang dibutuhkan  memberikan solusi bagi kendala kendala yang dialami  mudah dalam menyampaikan jika ada keluhan  dan hebatnya bisa atur jadwal untuk teknisi datang kerumah   luar biasa,1
mantap sih semoga kedepannya aplikasi nya makin berkembang  saya yakin di era digital ini my indihome lebih bagus lagi kedepannya terima kasih my indihome,1
aplikasi nya sangat mudah dan gampang untuk digunakan untuk saya pengguna indihome  mulai dari cek berapa banyak gb yang di gunakan  dapat melakukan transaksi bulanan dengan mudah dan juga banyak penawaran di ada di aplikasi nya  sehingga sangat membantu untuk pemilihan langganan indihome yang sangat simpel dan juga fitur bantuan yang membantu dlm setiap permasalahan yang saya alami selama penggunaan aplikasi indihome  semoga lebih banyak lagi fitur yang ditambahkan dan promo yang akan ditawkn,1
entah aku nya atau apanya   my indihome berfungsi dengan baik tapi terkadang layanan secara langsung mereka kurang ramah itu aja dan jaringan standar sih   riview jujur yaaaa,1
update malah ribet mau masuk lagi verifikasi terus dan gagal mulu,-1
pengalaman saya memakai indihome belum lama sih saya juga masih pengguna baru indihome jadi menurut pemakai saya yg baru  minggu sih lancar2 aja semoga kesananya juga lancar dan indihome semakin maju lagi,1
mantap indihome kecepatan nya stabil  dan layanan pelanggannya juga oke,1
tdk membantu sama sekali dlm hal penanganan masalah indihome pemakaian rumah  belum lagi u penanganan masalah kita harus ke kantor utama yg jarakny cukup jauh dr rumah,-1
telkom banyak tingkah  update aplikasi malah jadi gak bisa masuk  mau lapor gangguan jadi susah  ,-1
myindihome sangat membantu aku sebagai pengguna untuk memantau penggunaan secara berkala dari mulai tagihan perbulan hingga rekomendasi penawaran produk terbaru  aplikasinya mudah digunakan bagi berbagai kalangan  mencakup riwayat pembelian dan bantuan yang sangat memudahkan kita apabila terdapat kendala  dan yang paling seru ada poin myindihome dimana banyak bangettt promo yang bisa digunakan dengan hanya menukarkan poin yang sudah kita dapatkan  thank u myindihome such a good apps   ,1
penanganan petugas luar biasa cepat dan responsif,1
kalau di daerah saya terjangkau biznet  pasti saya sudah ganti  karena harga paket internet saya  bps  harganya normal internet   tv  padahal gak ada tv set top box nya  coba aja bisa diganti dengan langganan disney  hotstar gratis,-1
myindihome mempermudah kita melaporkan gangguan  mengecek koneksi internet dan dapat melihat point yg diperoleh serta mengetahui tagihan dan promo    ,1
aplikasi sangat bermanfaat memudahkan pembayaran reminder tagihan perubahan data upgrade layanan,1
fitur semakin berkurang  sering eror sudah bayar tapi tidak bisa melakukan laporan jaringan padahal dulu lancar  makin di update makin gaenak aplikasinya tambah lemot juga ,-1
jaringan lumayan cepat untuk pemasangan cctv di rumah jadi aman di tinggal pergi dan untuk mabar juga cepat,1
